hashtag,2022-08-01,2022-08-02,2022-08-03,2022-08-04,2022-08-05,2022-08-06,2022-08-07,2022-08-08,2022-08-09,2022-08-10,2022-08-11,2022-08-12,2022-08-13,2022-08-14,2022-08-15,2022-08-16,2022-08-17,2022-08-18,2022-08-19,2022-08-20,2022-08-21,2022-08-22,2022-08-23,2022-08-24,2022-08-25,2022-08-26,2022-08-27,2022-08-28,2022-08-29,2022-08-30,2022-08-31
#私の好きな福井県2022春夏,122,104,80,83,72,101,140,99,81,102,104,118,155,102,113,119,90,84,81,92,90,92,81,96,70,52,64,94,130,96,93
#福井県,54,46,29,34,26,36,67,29,32,42,41,48,88,43,49,30,25,27,31,53,24,32,30,53,24,19,26,30,61,37,36
#福井県2022_光,24,14,29,17,12,9,48,16,15,19,14,27,57,16,22,25,24,23,15,39,14,19,22,34,16,8,6,14,48,21,16
#福井ふるさと百景フォトコンテスト2022春夏,15,21,15,18,13,21,49,17,15,14,11,16,51,15,24,19,15,16,14,34,21,20,25,35,14,4,12,21,41,20,23
#福井,33,13,16,25,12,26,20,15,18,25,21,24,34,23,22,33,17,14,11,21,14,27,16,11,13,16,8,21,21,24,15
#ファインダー越しの私の世界,11,16,8,18,8,13,45,10,14,13,12,13,47,16,15,10,4,11,6,35,8,9,17,33,8,4,9,17,40,13,10
#福いいネ,20,20,14,22,16,18,19,22,15,15,19,15,19,14,20,13,15,12,13,18,14,14,12,17,12,6,9,14,9,14,12
#写真好きな人と繋がりたい,10,11,7,15,6,8,44,10,8,6,11,13,45,9,11,9,5,12,3,35,8,6,20,31,9,5,7,13,38,12,10
#マイ福いいネ,19,21,11,19,15,12,13,18,12,16,13,17,20,17,18,14,15,11,9,19,13,11,10,17,10,4,9,11,9,13,10
#福井観光,16,11,7,10,7,13,15,8,12,10,9,16,23,18,13,24,9,11,7,5,11,15,10,11,14,10,2,16,19,16,25
#fukui,20,12,9,9,6,13,18,13,9,10,20,16,23,24,17,12,9,11,9,15,6,8,9,6,6,7,8,20,16,16,14
#福井県2022_体験,12,13,5,16,13,7,13,9,10,8,7,12,14,12,12,15,12,9,5,8,14,11,8,12,16,7,11,4,16,13,12
#福井旅行,7,4,5,7,0,5,31,4,2,6,6,7,43,9,3,5,5,0,4,28,5,3,19,23,5,3,9,3,34,7,9
#japan_daytime_view,7,6,7,10,7,9,11,7,9,14,12,13,23,16,14,19,6,12,6,8,8,8,11,3,7,3,4,8,4,7,9
#誰かに見せたい景色,6,7,2,8,2,6,34,6,6,3,6,8,38,3,9,5,2,4,4,30,1,4,15,23,4,2,2,3,31,3,4
#onokatsuyama2022,7,5,3,5,5,9,10,12,6,3,13,10,13,13,5,12,8,5,7,9,8,5,9,7,11,4,6,11,17,15,19
#fukuikanko1,10,17,10,11,9,17,14,6,6,15,9,10,12,9,10,6,7,8,0,11,10,10,6,5,4,1,6,9,6,12,3
#福井いいとこ案内人,5,11,2,8,9,9,34,4,6,7,4,3,6,2,5,3,3,3,0,28,10,8,14,24,4,1,3,1,32,8,2
#誰かに見せたい風景,4,4,1,7,3,2,36,7,9,4,6,6,37,4,6,4,2,2,1,30,2,3,13,22,4,0,2,2,28,2,2
#team_jp_,6,7,1,4,5,2,4,2,8,6,4,19,13,15,10,23,9,11,14,7,12,6,7,10,8,3,2,6,9,6,4
#福井県2022_グルメ,6,7,5,9,7,4,4,8,4,9,8,8,9,8,6,9,7,3,9,9,8,3,6,8,8,6,10,8,16,8,15
#じゃびふる,4,4,8,6,5,4,7,10,6,3,7,8,10,10,10,15,13,10,9,6,9,6,8,9,12,0,4,9,10,5,7
#lovers_nippon,7,5,4,5,3,7,8,5,7,9,3,16,8,15,12,19,6,7,9,2,12,8,5,8,7,1,3,11,5,8,6
#tokyocameraclub,8,6,4,4,5,3,3,2,1,7,1,14,10,13,8,20,9,9,10,10,10,7,5,10,5,6,3,11,12,8,5
#photo_jpn,8,5,5,3,4,2,1,5,3,6,2,13,13,10,11,21,9,9,10,5,14,7,7,10,7,2,2,7,11,9,5
#大野市,5,3,3,3,5,7,7,11,9,6,6,10,10,10,12,13,8,4,4,3,5,3,4,11,8,2,6,7,10,19,10
#風景写真,3,4,0,5,0,3,32,0,4,3,4,3,35,1,3,0,0,4,3,27,3,2,12,24,4,2,0,3,29,1,2
#夕日,2,1,3,7,1,1,58,1,2,2,1,0,23,0,5,0,1,1,0,27,2,1,15,22,0,0,1,2,29,1,0
#福井カメラ部,11,6,4,7,5,9,12,7,8,10,7,3,10,6,8,11,3,4,4,11,2,8,8,5,4,2,4,7,4,14,3
#夕焼け,1,4,1,5,3,2,54,0,1,2,2,1,24,0,4,0,0,2,1,27,0,0,15,20,1,1,0,1,29,1,0
#若狭湾,2,4,2,5,0,2,31,1,3,2,1,0,35,1,2,2,3,1,2,27,1,1,11,20,1,1,1,1,28,1,0
#勝山市,7,4,3,5,2,3,7,6,3,4,12,6,11,8,3,3,6,6,7,9,5,9,11,3,7,4,10,7,8,4,8
#japan_of_insta,8,6,4,2,3,2,6,3,6,7,4,12,10,3,7,11,6,7,8,10,10,9,5,9,6,3,1,6,3,7,5
#イマソラ,2,3,1,5,1,3,30,0,0,1,3,1,34,1,1,0,0,1,2,26,2,1,12,21,1,1,1,2,30,1,2
#ひまわり,9,7,6,2,5,20,26,15,11,5,5,9,10,6,10,6,10,2,2,5,2,2,0,3,0,1,0,3,0,2,4
#美浜町,10,3,3,6,2,2,30,1,0,1,0,0,33,0,0,0,1,1,1,27,1,0,7,20,1,3,0,0,31,1,1
#誰かに見せたい空,2,1,0,3,0,2,29,0,1,0,1,1,34,0,3,2,0,1,1,28,0,2,12,20,2,1,0,0,28,1,2
#ひまわり畑,7,8,5,2,4,18,18,15,12,6,5,5,9,12,7,6,11,2,2,4,6,2,3,2,0,0,0,3,0,1,0
#カメラ好きな人と繋がりたい,8,2,6,6,2,4,7,5,5,4,9,3,7,11,6,8,5,5,2,5,2,4,5,4,4,5,5,14,7,10,3
#マジックアワー,2,1,0,4,2,2,30,0,0,1,2,2,32,0,0,0,0,2,0,26,0,0,11,20,1,1,0,1,28,1,0
#福井市,7,10,10,5,13,5,5,8,5,5,3,7,4,2,4,7,1,4,0,6,7,7,4,5,2,0,4,12,5,5,6
#art_of_japan_,3,3,1,4,6,3,8,2,5,3,5,10,8,12,14,13,4,4,9,3,9,6,7,5,6,3,0,6,1,3,1
#日本を元気にしたい,8,7,4,4,3,7,9,6,5,8,7,4,8,7,7,4,7,5,1,5,2,11,4,3,3,0,0,6,5,11,3
#東京カメラ部,5,6,2,2,5,2,5,4,3,2,5,5,4,9,7,10,6,7,8,6,9,4,4,6,6,5,4,6,6,5,3
#写真撮ってる人と繋がりたい,3,7,4,11,2,4,7,5,5,4,7,7,7,6,9,5,2,7,1,6,1,2,7,6,2,2,4,9,5,8,4
#bestjapanpics,6,9,4,4,2,2,4,1,4,5,0,7,4,9,4,9,7,8,8,8,9,8,3,8,6,5,1,4,3,4,2
#若狭路フォト,2,0,0,3,0,0,29,0,0,0,0,0,33,1,0,0,0,0,0,26,1,0,11,20,0,0,2,0,28,0,1
#japan,4,4,5,5,5,3,7,6,4,5,6,4,9,6,9,6,2,7,3,5,2,2,6,2,1,6,3,10,5,9,5
#まいおおの,4,2,2,2,2,6,1,8,3,6,2,9,9,5,12,13,4,2,3,2,3,2,3,6,6,2,4,5,9,14,5
#love_bestjapan,8,4,2,4,3,3,3,6,1,6,1,6,7,6,7,10,5,5,4,5,11,9,4,5,8,3,3,2,5,4,5
#イマウミ,0,0,0,3,0,0,29,0,0,0,0,0,33,0,0,0,0,0,0,26,0,0,11,20,0,0,0,0,28,0,0
#坂井市,9,3,4,3,2,2,7,11,10,6,12,8,9,7,5,4,5,4,4,3,7,1,2,2,1,4,1,5,4,3,2
#水晶浜海水浴場,0,0,0,4,1,0,29,0,0,0,0,0,33,0,0,0,0,0,0,26,0,0,7,20,0,0,0,0,28,0,0
#幻想的な景色,0,0,0,3,0,0,29,0,0,0,0,0,30,0,0,0,0,0,0,26,0,0,11,20,0,0,0,0,28,0,0
#グラデーション,0,0,0,0,1,0,27,0,0,0,0,0,30,0,0,0,0,0,0,26,0,0,11,20,0,0,0,0,28,2,0
#tanddフォトコンテスト2022,2,2,3,1,5,1,10,4,3,0,4,9,6,10,10,12,5,15,5,2,2,4,5,4,4,3,0,7,3,2,1
#ブルーアワー,0,0,0,0,0,0,29,0,0,0,0,0,30,0,0,0,0,0,0,26,0,0,11,20,0,0,0,0,28,0,0
#向日葵,9,5,2,1,3,14,19,8,12,6,4,7,10,3,7,6,14,1,2,2,0,2,0,2,0,1,0,1,0,1,1
#ゴールデンタイム,0,0,0,0,0,0,27,0,0,0,0,0,30,0,0,0,0,0,0,26,0,0,11,20,0,0,0,0,28,0,0
#日没後の景色,0,0,0,0,0,0,27,0,0,0,0,0,30,0,0,0,0,0,0,26,0,0,11,20,0,0,0,0,28,0,0
#小浜市,7,4,5,5,2,18,12,7,6,3,5,3,5,4,6,4,7,4,3,6,1,3,2,1,3,2,1,2,1,5,1
#花火,8,4,3,3,0,1,1,0,1,0,8,19,11,6,23,13,2,6,4,6,1,8,2,3,2,0,0,0,1,1,2
#夏,6,6,4,2,1,1,7,5,1,3,4,8,12,10,9,9,4,6,3,4,4,6,5,6,2,3,0,2,1,1,2
#何気ない瞬間を残したい,7,6,2,3,6,2,10,6,3,4,3,3,1,5,3,10,6,13,1,3,3,3,7,3,7,2,1,6,4,1,3
#越前市,0,3,3,3,2,2,0,2,1,5,4,4,3,4,17,12,2,8,5,5,3,5,4,2,3,3,13,5,2,4,5
#キリトリセカイ,6,6,1,5,3,6,14,5,11,6,7,2,1,7,1,4,2,7,5,1,4,2,5,6,5,0,2,4,2,2,1
#bestphoto_japan,3,5,2,2,2,4,4,1,4,3,8,14,12,12,3,11,2,3,2,2,5,5,2,4,2,3,1,2,0,4,4
#photoplusme,5,2,1,2,3,1,6,4,1,2,2,3,2,2,2,8,8,15,3,2,6,2,7,5,9,2,1,7,8,4,6
#japan_waphoto,3,2,4,3,2,0,4,3,0,6,1,8,7,3,5,7,5,4,3,1,5,3,6,6,9,0,2,7,9,6,6
#happy_rainbowclub,5,0,3,4,5,1,5,5,1,1,2,2,2,2,2,5,8,4,5,4,4,3,7,4,10,1,2,7,10,5,7
#jp_mood,5,4,1,2,5,1,4,2,1,3,0,4,1,1,3,7,8,14,4,1,4,2,6,4,8,0,2,4,9,4,6
#福井のいいところ,5,9,2,5,3,7,6,7,5,1,7,2,1,7,3,2,3,1,1,4,3,6,2,1,3,1,3,8,3,3,6
#sorakataphoto,7,5,3,1,2,2,1,1,1,4,1,13,7,10,6,6,3,5,3,6,8,4,3,5,2,3,1,2,1,2,1
#福井グルメ,3,3,2,5,2,1,5,2,3,3,4,2,4,7,6,4,5,1,2,4,4,2,2,4,2,1,7,4,6,8,3
#花火大会,7,4,1,4,1,0,2,1,0,0,8,7,10,5,15,14,3,8,3,5,0,1,0,2,2,0,0,3,1,1,2
#はなまっぷ,9,3,2,4,6,6,11,3,8,6,2,6,2,3,1,1,5,0,1,3,1,5,4,3,2,1,0,3,2,3,1
#写真で福井の魅力を伝えたい,2,6,2,6,8,6,2,4,5,5,2,3,5,1,5,2,5,3,0,2,10,4,2,4,3,1,1,1,3,4,0
#discover,1,2,3,1,3,1,4,1,2,0,2,7,5,8,10,9,4,14,5,2,1,5,2,4,1,1,0,4,0,2,1
#wu_japan,4,3,3,0,0,1,1,1,2,3,0,9,3,9,2,10,6,5,6,5,2,2,2,7,3,2,2,2,5,3,1
#children_jp,3,0,1,1,2,0,3,3,0,1,1,1,1,1,2,5,8,14,3,1,4,2,6,3,9,0,1,7,8,4,6
#fukuiprefecture,11,6,4,3,3,2,4,3,2,3,5,4,4,4,5,6,3,3,1,2,2,2,2,0,3,2,2,3,3,2,2
#kids_japan,4,1,2,2,2,1,5,3,1,2,1,3,2,2,3,7,8,14,3,1,5,2,6,1,6,0,1,4,2,1,3
